No.;Time;Comment;Scramble;Date;P.1
1;22.55;;U2 F2 R2 L' B' L' B2 D' R2 B2 D2 R2 D F2 B2 U F;2020-05-15 09:47:13;22.55
2;25.93;;D' B2 D2 B2 L' D2 R2 D2 U2 R' U2 R' B L2 U L2 D' B R D2;2020-05-15 09:48:00;25.93
3;16.73;;F2 D R2 B2 F2 U2 F2 U R2 U2 B2 U2 F' D' F' R2 U L' B D;2020-05-15 09:48:53;16.73
4;21.09;;B D2 U2 B' L2 B U2 F' U2 L2 F U' F D' B' R' U L2 D' L;2020-05-15 09:49:35;21.09
5;21.17;;F' L' D2 R U2 L' D2 B2 R' F2 L' D2 R' B R D' U L2 B2 F2 L;2020-05-15 09:50:20;21.17
6;17.28;;R F2 R B2 L' B2 L2 F2 U2 L2 D2 L' D L' B D2 L' D2 B' D F';2020-05-15 09:50:59;17.28
7;16.10;;L2 D F2 L2 B2 U' B2 D' F2 R2 D2 L U' R2 D' U2 F D2 F' R' F';2020-05-15 09:51:38;16.10
8;17.93;;R D2 B R2 U2 B2 L2 B U2 L2 B U2 R F2 R' U' F' L2 U F';2020-05-15 09:52:13;17.93
9;19.56;;D R B2 L' D2 R' U2 F2 L2 D2 F2 R' U B L2 D' F' L U L';2020-05-15 09:52:52;19.56
10;19.07;;D F' U' L2 B2 R2 U2 R2 F2 D F2 U' R2 U2 B L D' B2 R F' U2;2020-05-15 09:53:32;19.07
11;19.54;;U2 F2 U F2 U L2 D' F2 L2 F2 U' F' U2 L' B2 D' B U F' U' L;2020-05-15 09:54:17;19.54
12;17.59;;B' D' F' L D2 R' B2 U F2 L B' D2 L2 F L2 F2 L2 F B2 L2 B';2020-05-15 09:55:01;17.59
13;22.17;;D L F2 R2 D2 L' D2 B2 R2 D2 R' D B' U' R B2 F U F R;2020-05-15 09:55:44;22.17
14;14.28;;U R B2 U' L D R' F' L2 B' U2 B' R2 F U2 B' L2 F2 D;2020-05-15 09:56:28;14.28
15;21.74;;U2 R' B D F' R' U D2 B2 L D2 F2 R F2 U2 L U2 B2 U R U';2020-05-15 09:57:06;21.74
16;17.66;;B' D2 L B R U' R' L2 D' B2 L2 U2 D' F2 B2 D B2 U2 B' U2 R;2020-05-15 09:57:50;17.66
17;17.21;;R2 D R2 D F2 R2 U L2 F2 D2 U' L' R' B' U' B' R' B' D2 R';2020-05-15 09:58:28;17.21
18;17.85;;F D2 R2 U2 F' D2 B2 L2 F L2 B L' U R2 B' R' D' F' D R';2020-05-15 09:59:10;17.85
19;23.06;;U2 L2 F' U2 F' R2 F' D2 B2 R2 F' U' R' D L2 B' R' F' L2 U' F;2020-05-15 10:00:44;23.06
20;25.16;;B' L' R' B2 F2 L' D2 L' D2 R' U2 B2 U L2 U L' D' B2 F;2020-05-15 10:01:27;25.16
21;18.37;;R2 D' R2 U2 R2 B2 U' L2 U B2 D B' F' D R' D2 L R2 B' L2;2020-05-15 10:02:19;18.37
22;15.10;;D L' U2 D B U' R' D' B' L' U2 R U2 R F2 B2 R B2 L' F2 L';2020-05-15 10:02:58;15.10
23;17.35;;F' D2 L2 F D2 B2 R2 D2 F L2 U2 F R D' B L F L U' F;2020-05-15 10:03:36;17.35
24;19.38;;B L R2 F2 D2 L2 R2 D' B2 U' L2 R2 U2 R F2 D R2 D2 F L;2020-05-15 10:04:15;19.38
25;18.70;;L D2 F' R2 U L2 U B2 D' L2 B2 D2 F2 U' B' L' D2 R B' D2 F;2020-05-15 10:04:59;18.70
26;19.69;;U2 R2 F D' B2 R U R2 F' D F2 L2 B2 R2 D2 B2 U' L2 D R2;2020-05-15 10:05:38;19.69
27;20.61;;B2 D2 R2 B R2 B' F2 L2 F' D2 F2 U' R' D L' B R2 D L' D2;2020-05-15 10:06:30;20.61
28;18.34;;B2 R B R2 U' F2 R L D' F2 L2 D2 B2 R2 L' U2 R U2 D2 R;2020-05-15 10:07:13;18.34
29;23.64;;R U2 B2 D B2 F2 U R2 D' F2 U2 B D F2 D' R F U R2 U2;2020-05-15 10:07:54;23.64
30;23.76;;R F' B2 R B2 L' U2 R2 D2 R' F2 R2 B2 F' D2 L2 F' D' F' U2;2020-05-15 10:08:49;23.76
31;19.07;;U' D2 R2 D R B L2 D' U2 R' U2 F2 R2 F2 L B2 U2 D2 R';2020-05-15 10:09:39;19.07
32;20.55;;D B U R U D F D' R2 U2 F' B2 R2 B' D2 B D2 F U2;2020-05-15 10:10:20;20.55
33;21.89;;F L2 B D B2 R' U' L2 D' R2 F2 L2 D2 F' U2 D2 L2 F' L2 F U2;2020-05-15 10:11:01;21.89
34;22.95;;L' D2 F2 L' U2 L' B2 R' U2 L' R' U' F2 R' B F' D' F2 L' B2;2020-05-15 10:11:45;22.95
35;18.07;;D' L U2 F2 R F' L2 F' U' R' B2 L2 U2 B2 R' B2 L' U2 D2;2020-05-15 10:12:32;18.07
36;22.46;;B2 U2 B2 L2 U' R2 B2 R2 D L2 D' L2 F D' R' F' R2 B2 F2 U;2020-05-15 10:13:14;22.46
37;16.86;;U2 B U' R L2 U B2 D F' B2 R2 D' B2 D R2 U F2 L2 D2 B2 U';2020-05-15 10:13:57;16.86
38;15.79;;F U' L2 F2 L' D' F' R B2 R' U2 R' L2 B2 R' D2 L2 B2 F' R';2020-05-15 10:14:36;15.79
39;20.30;;F2 D R2 U' L2 U B2 R2 U B F D R F' D2 F L' B F;2020-05-15 10:15:14;20.30
40;20.17;;L2 F2 L' R' U2 B2 L D2 U2 L' F2 U2 F' D U' B2 L B2 F' L' F;2020-05-15 10:15:58;20.17
41;19.72;;U L' D' F2 D' L2 R2 U F2 U' L2 F2 U2 L' U2 B D L2 D' B2 L';2020-05-15 10:16:46;19.72
42;25.35;;R2 B L B' D R' B' L2 B' U2 L2 D' F2 U2 B2 R2 U2 R2 D' F2;2020-05-15 10:17:31;25.35
43;12.36;;F2 D R2 U2 D' B' L' B L2 B2 D' L2 D L2 D' B2 U' L2 F;2020-05-15 10:18:23;12.36
44;24.69;;B U' L2 F2 R' F2 D2 R' B2 L F2 L2 D2 U' L' U' L2 R B U;2020-05-15 10:19:13;24.69
45;20.42;;F R B2 U2 F' U2 F2 L2 U2 F D2 B U2 F D' R2 F' L D' B D2;2020-05-15 10:20:04;20.42
46;19.40;;F' L2 F' R2 D' F L U F2 D' R2 B2 U' B2 U' F2 U' R2 B2 L D;2020-05-15 10:21:08;19.40
47;15.86;;R F2 D R2 U R2 U2 B2 D' L2 R2 F2 R' D' L' R2 D2 F' L2 B' R;2020-05-15 10:21:54;15.86
48;19.81;;L2 D2 R2 B D2 U2 F D2 B2 D2 L2 U F U2 F' R F U2 L2 D';2020-05-15 10:22:30;19.81
49;19.54;;L2 D2 R' L B' L2 U F U' L2 U' F2 D F2 L2 D F2 D' R;2020-05-15 10:23:19;19.54
50;14.46;;R B2 U2 R' D2 R F2 R2 F2 U2 B R B2 L2 D F2 R2 B' F' R';2020-05-15 10:24:13;14.46
